batch_id,copy_time_us,kernel_time_us
1009,16.704,17.696
1010,16.256,19.072
1011,17.248,17.728
1012,17.568,17.76
1013,16.864,17.76
1014,17.248,17.728
1015,17.152,17.728
1016,17.536,17.728
1017,17.344,17.728
1018,17.184,17.728
1019,16.736,18.048
1020,9.504,18.656
1021,17.088,17.728
1022,17.44,17.728
1023,17.952,18.496
1024,17.664,18.464
1025,10.112,18.176
1026,9.952,17.952
1027,17.856,18.432
1028,17.792,18.464
1029,17.696,18.464
1030,16.992,11.296
1031,9.952,18.56
1032,10.08,17.92
1033,18.112,18.464
1034,18.176,17.408
1035,17.696,18.464
1036,10.048,18.304
1037,18.112,17.44
1038,17.984,18.464
1039,17.44,18.464
1040,18.048,18.464
1041,17.344,18.272
1042,18.048,18.464
1043,9.984,18.432
1044,18.528,17.12
1045,17.792,18.464
1046,17.504,18.464
1047,18.112,18.464
1048,17.792,18.432
1049,17.984,18.432
1050,17.664,18.304
1051,9.888,18.048
1052,18.176,17.44
1053,17.952,18.464
1054,17.728,18.432
1055,17.76,18.208
1056,9.92,11.744
1057,17.792,18.432
1058,17.408,11.264
1059,18.208,17.44
1060,18.176,18.496
1061,17.728,18.432
1062,17.568,18.432
1063,17.824,18.304
1064,9.984,17.92
1065,18.208,17.44
1066,17.632,18.432
1067,10.08,18.336
1068,17.248,18.464
1069,18.144,16.416
1070,10.176,18.496
1071,10.144,18.432
1072,10.016,18.368
1073,10.272,18.688
1074,9.888,17.408
1075,10.144,19.328
1076,16.96,18.752
1077,16.128,18.048
1078,16.416,16.768
1079,16.928,18.048
1080,16.64,10.912
1081,16.16,18.048
1082,16.608,17.024
1083,16.064,18.88
1084,9.728,16.8
1085,16.32,18.048
1086,16.128,19.072
1087,15.808,10.912
1088,16.096,18.048
1089,9.632,17.472
1090,16.896,18.048
1091,17.184,16.736
1092,16.448,17.024
1093,16.384,18.048
1094,17.344,18.368
1095,9.984,18.304
1096,9.952,18.592
1097,17.792,18.464
1098,17.728,18.432
1099,9.984,18.016
1100,18.176,18.432
1101,18.784,17.12
1102,10.048,17.856
1103,18.464,17.12
1104,10.016,18.016
1105,17.632,18.464
1106,10.016,17.92
1107,18.144,18.432
1108,17.984,18.464
1109,17.664,18.464
1110,9.888,11.808
1111,17.44,18.464
1112,10.08,139.712
1113,11.968,11.456
1114,17.6,18.432
1115,17.6,18.432
1116,17.088,18.432
1117,17.696,18.4
1118,17.344,18.432
1119,17.28,18.4
1120,17.568,18.432
1121,17.76,17.408
1122,17.248,18.144
1123,18.336,17.088
1124,17.824,18.368
1125,18.464,17.088
1126,17.632,18.432
1127,17.28,18.432
1128,17.824,18.4
1129,18.176,17.408
1130,17.664,17.408
1131,17.952,17.408
1132,17.12,18.432
1133,17.056,18.432
1134,17.824,17.408
1135,17.664,18.432
1136,17.824,18.4
1137,17.248,18.432
1138,17.76,18.432
1139,17.696,18.432
1140,17.76,18.4
1141,17.728,18.144
1142,18.272,17.088
1143,17.984,17.184
1144,18.304,17.088
1145,17.184,18.432
1146,18.144,17.376
1147,17.984,18.208
1148,18.048,17.408
1149,17.568,18.432
1150,18.464,17.088
1151,18.496,17.12
1152,17.728,18.432
1153,17.056,18.432
1154,17.344,18.4
1155,17.248,18.4
1156,18.176,17.088
1157,17.248,18.432
1158,17.824,17.408
1159,18.016,18.4
1160,17.28,18.4
